student_id,age,entrance_score,board_percentage,extracurricular_score,admission_probability
374,18,431,78.86,6,0.608
375,20,0,74.13,1,0.193
376,17,0,97.16,0,0.342
377,19,0,56.44,8,0.192
378,19,0,67.46,7,0.253
379,18,0,77.55,3,0.254
380,18,0,54.48,4,0.105
381,17,470,92.03,9,0.73101
382,20,37,93.58,0,0.341
383,20,0,60.39,6,0.184
384,17,0,97.02,3,0.395
385,17,0,80.71,6,0.331
386,17,165,79.65,10,0.507
387,17,124,67.43,5,0.3
388,20,114,78.48,6,0.392
389,20,0,62.9,0,0.093
390,17,0,51.74,6,0.121
391,19,634,86.78,1,0.73101
392,17,493,97.89,9,0.73101
393,18,0,54.47,1,0.05
394,19,15,79.8,6,0.335
395,19,155,62.79,6,0.306
396,20,198,68.74,5,0.36
397,17,0,64.1,7,0.229
398,17,108,53.39,9,0.26
399,18,84,99.33,9,0.578
400,18,0,78.69,0,0.208
401,20,25,78.13,4,0.293
402,20,97,78.89,8,0.42
403,18,6,54.16,4,0.106
404,20,4,69.78,9,0.309
405,18,29,96.23,5,0.446
406,19,0,77.54,0,0.2
407,18,0,69.91,1,0.162
408,17,0,60.64,9,0.24
409,20,0,62.38,2,0.126
410,17,0,90.23,0,0.292
411,17,52,82.01,6,0.376
412,17,124,66.42,2,0.239
413,18,75,94.89,3,0.43
414,17,0,51,10,0.188
415,17,151,88.12,3,0.432
416,19,0,76.51,1,0.21
417,20,0,94.73,7,0.451
418,17,193,93.79,1,0.466
419,18,242,65.96,6,0.387
420,19,0,51.74,8,0.157
421,20,147,93.59,10,0.597
422,19,0,91.33,10,0.481
423,20,114,58,10,0.316
424,19,0,76.66,10,0.375
425,18,187,68.77,8,0.407
426,17,64,86.36,0,0.307
427,20,0,93.51,7,0.443
428,20,146,81.23,7,0.452
429,17,177,97.48,8,0.609
430,19,169,52.58,0,0.132
431,17,58,69.86,10,0.364
432,19,6,67.45,7,0.257
433,20,0,62.72,1,0.11
434,17,175,68.09,9,0.412
435,18,0,56.36,6,0.155
436,17,0,75.09,2,0.218
437,19,0,66.05,4,0.189
438,20,0,79.48,4,0.286
439,17,0,71.32,0,0.154
440,18,172,50.44,2,0.153
441,20,0,76.43,9,0.355
442,18,0,77.57,2,0.236
443,17,456,92.23,1,0.631
444,18,162,64.45,10,0.395
445,19,0,87.1,0,0.269
446,19,0,93.8,1,0.336
447,18,0,84.55,6,0.359
448,20,0,55.57,6,0.149
449,19,0,71.01,4,0.225
450,18,0,70.01,0,0.145
451,20,0,62.49,7,0.217
452,20,386,66.97,5,0.473
453,18,118,85.04,8,0.479
454,17,0,68.89,8,0.282
455,19,74,60.04,10,0.304
456,19,140,89.89,0,0.383
457,17,161,69.38,4,0.321
458,19,154,71.29,3,0.312
459,20,0,54.2,7,0.157
460,17,0,89.38,1,0.304
461,19,5,54.23,10,0.215
462,17,10,78.59,6,0.323
463,19,0,87.98,2,0.312
464,18,168,56.25,10,0.34
465,17,0,65.13,8,0.255
466,20,49,99.45,2,0.428
467,17,127,72.31,5,0.338
468,19,0,78.94,1,0.228
469,17,0,93.2,5,0.404
470,20,0,95,2,0.363
471,19,0,67.05,2,0.16
472,20,0,92.12,0,0.305
473,18,0,66.24,4,0.19
474,18,0,90.39,2,0.329
475,19,187,89.77,0,0.414
476,20,103,79.02,4,0.352
477,20,216,82.48,8,0.526
478,17,191,78.48,1,0.353
479,19,0,55.49,0,0.04199
480,17,20,71.94,0,0.172
481,18,0,56.01,4,0.116
482,20,0,52.69,5,0.11
483,18,96,74.64,0,0.243
484,20,136,63.23,3,0.242
485,18,5,67.51,1,0.148
486,17,75,81.35,9,0.441
487,18,0,73.29,7,0.296
488,19,65,78.34,5,0.34
489,20,0,83.66,4,0.317
490,19,0,83.47,5,0.333
491,20,0,84.49,9,0.413
492,20,0,72.76,9,0.328
493,20,165,85.39,6,0.477
494,19,0,63.38,3,0.151
495,18,86,88.18,4,0.407
496,18,115,89.72,5,0.456
497,17,189,94.83,7,0.579
498,18,198,97.18,5,0.566
499,20,0,76.03,8,0.334
500,18,0,76.64,0,0.193
501,17,8,68.95,4,0.215
502,19,143,88.87,3,0.433
503,20,0,63.47,5,0.188
504,20,5,81.97,7,0.362
505,18,129,78.07,6,0.399
506,18,0,64,10,0.283
507,19,196,62.94,4,0.298
508,17,98,58.04,6,0.233
509,18,0,86.67,7,0.393
510,17,131,91.13,0,0.386
511,20,0,59.09,0,0.066
512,19,0,95.4,5,0.42
513,20,0,60.31,9,0.238
514,20,0,55.34,2,0.075
515,20,12,93.9,6,0.435
516,17,4,96.15,4,0.41
517,20,0,58.21,4,0.132
518,17,6,58.91,10,0.25
519,18,0,64.64,8,0.251
520,19,0,53.02,9,0.185
521,18,124,70.97,1,0.253
522,17,0,85.93,3,0.315
523,17,539,54.21,10,0.575
524,20,107,65.05,9,0.344
525,18,547,67.86,4,0.57
526,18,51,97.08,0,0.376
527,20,42,87.25,0,0.298
528,17,26,68.44,9,0.314
529,20,0,60.32,8,0.22
530,20,0,93.46,7,0.442
531,19,0,64.25,10,0.285
532,17,110,81.24,10,0.482
533,17,109,84.57,8,0.469
534,18,65,89.46,4,0.402
535,19,125,80.88,7,0.435
536,17,146,70.09,6,0.353
537,18,153,57.44,5,0.247
538,17,0,59.99,9,0.235
539,19,163,79.34,7,0.449
540,17,161,74.28,6,0.393
541,19,88,69.11,1,0.216
542,17,0,76.62,2,0.229
543,17,44,92.94,7,0.468
544,17,0,52.12,7,0.142
545,20,496,56.87,10,0.565
546,17,117,50.44,2,0.115
547,18,72,65.99,0,0.164
548,19,0,58.33,2,0.096
549,19,0,63.94,8,0.246
550,19,0,53.77,1,0.045
551,20,0,67.23,8,0.27
552,18,634,70,1,0.607
553,20,0,96.3,10,0.517
554,18,104,78.55,3,0.331
555,20,0,92.26,5,0.397
556,19,141,81.2,8,0.466
557,19,0,72.34,1,0.18
558,20,222,94.57,7,0.6
559,20,0,88.64,6,0.389
560,20,92,51.37,5,0.162
561,19,36,61.01,6,0.213
562,17,0,99.53,9,0.526
563,18,472,88.48,4,0.669
564,17,3,70.64,3,0.206
565,20,0,79.58,7,0.341
566,17,0,88.58,2,0.316
567,17,0,69.6,0,0.142
568,17,134,52.22,8,0.251
569,19,129,80.87,10,0.492
570,19,487,55.82,7,0.497
571,20,157,62.12,8,0.338
572,18,0,75.96,3,0.243
573,18,0,89.84,0,0.289
574,17,23,61.23,10,0.278
575,17,125,59.62,2,0.19
576,18,466,71.24,8,0.613
577,20,0,56.83,6,0.158
578,19,0,62.5,2,0.127
579,20,0,65.03,1,0.127
580,17,36,89.03,5,0.398
581,17,191,83.16,6,0.478
582,20,0,68.1,2,0.167
583,17,0,97.32,4,0.416
584,17,0,63.8,2,0.136
585,18,363,75.4,9,0.592
586,20,143,80.96,10,0.502
587,19,81,97.78,5,0.492
588,17,0,92.76,6,0.419
589,20,0,68.69,2,0.172
590,20,122,75.07,1,0.282
591,20,188,72.84,5,0.383
592,20,1,65.25,1,0.129
593,17,207,74.05,10,0.495
594,20,155,54.45,4,0.209
595,18,0,52.73,7,0.146
596,20,103,53.45,3,0.148
597,19,0,56.78,10,0.23
598,20,250,64.2,10,0.453
599,19,286,81.97,0,0.424
600,19,615,92.06,8,0.73101
601,19,0,89.05,2,0.319
602,20,244,66.32,10,0.464
603,19,0,52.17,2,0.052
604,17,0,52.72,10,0.201
605,20,0,89.89,3,0.344
606,19,0,93.59,8,0.461
607,18,108,96.59,5,0.501
608,19,0,98.32,6,0.459
609,20,40,92.44,3,0.389
610,20,0,67.75,4,0.201
611,20,0,73.73,10,0.353
612,18,0,91.62,8,0.447
613,20,16,94.91,7,0.463
614,18,0,68.05,2,0.167
615,19,0,81.42,7,0.355
616,19,506,58.94,8,0.55
617,17,0,50.44,9,0.164
618,18,66,67.77,4,0.246
619,17,161,96.06,3,0.497
620,17,65,82.79,8,0.427
621,18,15,94.73,6,0.443
622,18,0,67.94,5,0.221
623,17,0,52.37,7,0.144
624,18,482,67.95,4,0.527
625,19,81,71.43,4,0.282
626,17,0,83.59,9,0.407
627,18,0,98.35,10,0.532
628,18,0,65.53,1,0.13
629,19,0,87.85,4,0.347
630,18,174,94.33,0,0.439
631,19,153,62.4,5,0.283
632,18,0,89.03,5,0.374
633,18,187,97.72,4,0.545
634,18,29,88.87,1,0.319
635,17,0,69.87,9,0.307
636,19,0,79.15,4,0.284
637,17,77,87.28,5,0.413
638,18,155,90.4,0,0.397
639,20,47,85.42,8,0.434
640,20,0,98.89,6,0.463
641,19,91,93.08,3,0.428
642,20,13,60.75,6,0.195
643,20,0,99.53,0,0.362
644,18,13,85.22,0,0.264
645,20,0,95.66,9,0.494
646,18,50,74.87,5,0.305
647,18,0,94.68,1,0.342
648,19,634,99.23,3,0.73101
649,20,0,91.12,7,0.425
650,20,16,89.89,9,0.463
651,18,37,60.8,1,0.121
652,19,0,56.76,4,0.121
653,17,89,88.47,5,0.43
654,20,8,85.32,2,0.298
655,19,26,81.22,10,0.425
656,19,106,72.32,1,0.251
657,20,175,53.25,5,0.232
658,19,0,78.54,9,0.37
659,17,29,76.62,5,0.303
660,18,0,85.87,1,0.278
661,17,51,54.46,4,0.139
662,19,35,70.13,9,0.333
663,17,30,71.03,0,0.172
664,17,0,73.22,4,0.241
665,19,134,51.71,2,0.138
666,19,0,79.26,4,0.285
667,19,0,59.65,9,0.233
668,20,26,95.61,7,0.475
669,20,21,81.6,6,0.352
670,17,0,91.55,0,0.301
671,20,28,74.59,2,0.233
672,19,193,68.55,3,0.319
673,19,192,62.91,10,0.404
674,17,0,69.81,7,0.27
675,19,0,96.04,10,0.515
676,19,0,96.26,9,0.499
677,19,162,96.97,6,0.559
678,17,31,88.3,6,0.407
679,19,0,58.94,8,0.21
680,20,261,85.88,0,0.436
681,19,0,66.77,9,0.285
682,17,0,71.26,9,0.317
683,20,171,73.07,5,0.373
684,20,0,62.8,9,0.256
685,17,0,60.41,4,0.148
686,20,133,55.18,8,0.272
687,18,0,72.06,10,0.341
688,19,138,79.6,4,0.38
689,18,109,94.12,2,0.43
690,20,60,50.88,5,0.137
691,20,205,52.27,10,0.336
692,20,0,87.17,3,0.324
693,20,0,89.52,10,0.468
694,20,212,51.72,2,0.191
695,17,0,88.08,7,0.403
696,18,0,77.96,6,0.311
697,19,117,65.98,6,0.303
698,19,0,82.64,3,0.291
699,17,0,65.35,1,0.129
700,17,502,72.01,1,0.515
701,19,161,74.38,5,0.376
702,19,0,64.7,0,0.106
703,17,0,66.41,0,0.119
704,17,0,94.55,6,0.432
705,17,0,70.4,4,0.22
706,19,191,63.86,6,0.338
707,17,37,75.32,5,0.299
708,19,17,56.7,1,0.078
709,18,95,78.23,3,0.323
710,18,0,92.04,9,0.468
711,19,0,74.04,1,0.192
712,19,60,50.78,2,0.082
713,19,135,95.16,6,0.527
714,20,158,87.55,4,0.451
715,20,39,98.42,7,0.504
716,20,285,90.29,10,0.666
717,19,195,93.02,1,0.461
718,18,133,95.76,3,0.476
719,17,0,62.71,9,0.255
720,19,0,99.27,2,0.394
721,17,29,62.69,0,0.111
722,20,147,98.81,8,0.598
723,20,132,89.75,0,0.377
724,17,64,86.64,8,0.454
725,20,159,61.5,9,0.353
726,17,10,65.33,4,0.19
727,19,0,57.74,5,0.147
728,17,204,64.77,8,0.389
729,18,0,95.99,8,0.479
730,19,16,72.95,9,0.34
731,19,0,97.86,0,0.347
732,18,134,79.58,0,0.305
733,20,145,50.81,3,0.158
734,20,191,66.88,8,0.396
735,17,0,67.07,4,0.196
736,19,99,71.29,8,0.366
737,19,190,83.5,6,0.48
738,18,0,63.41,9,0.26
739,19,0,70.33,2,0.183
740,20,0,99.53,8,0.507
741,20,0,68.12,5,0.222
742,20,58,75.24,1,0.24
743,19,0,75.67,3,0.24
744,18,0,59.76,1,0.089
745,20,29,74.78,3,0.253
746,18,0,61.06,2,0.116
747,19,198,55.39,2,0.208
748,18,22,90.4,7,0.435
749,18,166,85.73,10,0.552
750,17,0,63.51,8,0.243
751,20,0,56.73,8,0.194
752,17,0,99.15,6,0.465
753,17,0,95.83,7,0.459
754,20,60,68.09,3,0.226
755,19,0,82.24,5,0.324
756,18,0,64.37,10,0.285
757,19,59,68.8,0,0.176
758,18,0,76.94,10,0.377
759,17,11,63.45,3,0.159
760,19,53,54.33,1,0.085
761,17,0,86,9,0.424
762,19,0,59.56,4,0.142
763,20,28,65.02,7,0.255
764,20,372,97.78,5,0.688
765,18,0,80.14,7,0.345
766,20,76,61.4,2,0.17
767,19,89,64.27,6,0.272
768,18,2,61.19,7,0.209
769,17,0,93.49,7,0.442
770,18,162,90.02,1,0.417
771,19,0,77.41,7,0.326
772,20,0,56.45,10,0.228
773,17,0,86.93,1,0.286
774,19,13,92.44,8,0.462
775,20,0,76.38,6,0.3
776,20,113,60.55,5,0.243
777,18,192,84.73,2,0.417
778,17,160,66.33,7,0.353
779,18,0,95.83,7,0.459
780,20,0,91.51,1,0.319
781,20,0,70.31,7,0.274
782,19,0,52.01,10,0.196
783,17,143,97.39,8,0.585
784,17,0,97.73,9,0.509
785,18,0,74.28,5,0.267
786,19,21,50.44,6,0.125
787,17,0,86.14,3,0.316
788,19,0,64.04,0,0.102
789,19,0,87.47,6,0.381
790,17,62,51.46,10,0.233
791,17,0,80.84,8,0.369
792,18,0,96.97,8,0.486
793,19,53,75.97,0,0.224
794,20,0,97.3,0,0.343
795,18,36,86.09,1,0.304
796,18,0,79.82,6,0.325
797,20,59,92.31,3,0.401
798,18,0,96.02,1,0.352
799,18,0,92.94,5,0.402
800,18,0,95.91,1,0.351
801,17,0,53.19,2,0.059
802,18,95,60.63,5,0.231
803,19,0,63.36,9,0.26
804,20,0,98,9,0.511
805,19,184,95.6,0,0.455
806,20,0,90.53,6,0.403
807,19,179,89.85,10,0.591
808,17,107,72.3,2,0.27
809,18,54,54.98,4,0.145
810,20,159,83.3,2,0.385
811,17,0,76.1,1,0.207
812,20,0,70.19,4,0.219
813,19,408,68.16,9,0.569
814,18,198,58.07,4,0.264
815,20,135,70.27,1,0.256
816,20,143,96.18,9,0.595
817,17,127,59.86,7,0.284
818,17,0,79.94,8,0.362
819,19,12,81.2,3,0.289
820,20,0,69.1,4,0.211
821,17,0,63.48,1,0.116
822,19,83,57.79,8,0.257
823,17,0,70.81,4,0.223
824,19,124,75.17,9,0.429
825,19,100,51.82,6,0.189
826,17,0,96.2,5,0.426
827,19,577,50.44,1,0.407
828,20,24,52.41,8,0.178
829,20,0,83.43,10,0.424
830,17,0,89.41,3,0.34
831,17,520,72.88,10,0.697
832,17,0,66.11,1,0.135
833,18,0,85.75,5,0.35
834,17,0,93.53,8,0.461
835,20,153,65.72,1,0.235
836,20,94,80.74,9,0.449
837,20,93,94.92,4,0.461
838,17,0,83.17,0,0.24
839,17,179,54.09,0,0.15
