student_id,age,entrance_score,board_percentage,extracurricular_score,admission_probability,Topsis Score,Rank
250.99,17,0,66.86,8,0.267,0.2454087492997851,13002
250.99,20,212,60.95,7,0.349,0.3944552747719128,2568
250.99,19,109,95.24,5,0.492,0.32119677240193617,5807
250.99,19,71,57.43,9,0.265,0.2922975450192378,8224
250.99,19,136,51.43,10,0.283,0.35445646599265795,3939
250.99,19,0,91.9,0,0.304,0.15900659718524524,20208
250.99,17,0,90.94,6,0.406,0.2519397580794131,12335
250.99,19,0,95.87,0,0.333,0.17330006488741168,19247
250.99,20,0,87.2,6,0.379,0.24422205973989813,13107
250.99,18,0,91.91,10,0.485,0.3268556522777839,5346
250.99,19,0,56.46,10,0.228,0.27529975746107105,9937
250.99,17,453,80.42,1,0.544,0.6277268509489374,873
250.99,18,0,95.76,3,0.386,0.21042745300208893,16109
250.99,18,131,95.22,2,0.452,0.2969911244281497,7830
250.99,20,0,94.93,2,0.362,0.1936915001816031,17529
250.99,17,43,85.59,3,0.341,0.20280805833624585,16792
250.99,18,0,68.23,3,0.186,0.1250874742310027,22120
250.99,18,195,59.68,4,0.274,0.3207469867835362,5850
250.99,20,0,53.96,7,0.155,0.20592534359925002,16519
250.99,20,157,54.84,8,0.286,0.341912995711848,4449
250.99,17,232,57.89,4,0.286,0.36481511305070286,3532
250.99,17,0,78.14,10,0.385,0.30408650425931877,7157
250.99,20,100,51.48,1,0.096,0.1444703340795546,21148
250.99,17,4,58.8,5,0.157,0.16012222312413996,20136
250.99,20,197,67.88,9,0.425,0.42202042601803086,1952
250.99,18,103,82.17,6,0.411,0.30167763329882613,7399
250.99,20,312,92.65,6,0.628,0.5569133356663521,1058
250.99,18,0,70.4,4,0.22,0.15622611841872955,20396
250.99,18,34,67.56,7,0.277,0.23997205165090513,13455
250.99,19,0,75.94,6,0.297,0.2176895244228237,15499
250.99,17,0,79.81,10,0.398,0.30687840711147,6911
250.99,19,0,67.92,0,0.13,0.06565584587234201,24127
250.99,19,0,82.29,0,0.234,0.12286354964314003,22257
250.99,20,279,69.99,5,0.423,0.46277098939222183,1444
250.99,20,103,59.78,7,0.267,0.27794642228217364,9674
250.99,19,0,92.35,10,0.489,0.3280020040347049,5285
250.99,18,51,60.35,9,0.272,0.2831568660612051,9100
250.99,18,59,89.52,8,0.471,0.3206884289409368,5857
250.99,18,58,79.32,2,0.288,0.17695665709766217,18960
250.99,20,430,87.78,4,0.636,0.6660245290380837,794
250.99,18,0,50.44,0,0.04199,0.010349659386385789,24976
250.99,17,160,60.83,8,0.331,0.3533791090493371,3985
250.99,18,0,72.08,1,0.178,0.09337274859784164,23389
250.99,17,0,93.36,2,0.351,0.18686864825882085,18070
250.99,17,0,55.09,6,0.145,0.18039895868019643,18631
250.99,17,0,78.32,7,0.332,0.24406600370002246,13121
250.99,20,142,92.03,8,0.546,0.39443857782456,2569
250.99,19,176,50.79,2,0.16,0.25397668949943275,12126
250.99,19,139,51.85,6,0.215,0.27863486798323245,9603
250.99,18,0,69.83,8,0.289,0.25045072816473707,12507
250.99,19,0,54.59,7,0.16,0.2058730849325871,16529
250.99,17,97,54.28,2,0.132,0.15467024807912974,20505
250.99,20,0,60.67,9,0.24,0.25968543789818604,11541
250.99,19,0,73.88,3,0.227,0.14239096074534743,21255
250.99,20,176,66.66,4,0.312,0.3112486216020546,6540
250.99,17,12,98.62,3,0.415,0.2249411530615198,14872
250.99,18,35,72.37,10,0.367,0.31250272478562674,6457
250.99,19,69,78.79,9,0.418,0.32570724112844673,5425
250.99,18,17,68.79,7,0.275,0.23347218174686224,14031
250.99,18,161,55.2,8,0.291,0.34562994443074213,4308
250.99,17,425,70.97,10,0.619,0.7103591873705962,668
250.99,18,95,72.54,7,0.354,0.29364384364272234,8107
250.99,17,0,97.58,1,0.363,0.18797875598297004,17967
250.99,18,85,94.68,2,0.418,0.2505377887117705,12495
250.99,19,0,50.44,5,0.092,0.1501962118314265,20845
250.99,19,215,63.83,5,0.335,0.36973953137210236,3343
250.99,19,0,78.82,2,0.245,0.137470732875233,21522
250.99,18,0,85.33,8,0.401,0.27872994040529425,9587
250.99,20,525,72.36,7,0.642,0.8064079063191919,323
250.99,17,75,85.6,6,0.417,0.2856505311685094,8854
250.99,18,0,85.94,6,0.369,0.23997663726408675,13454
250.99,17,0,85.54,2,0.294,0.15992207774153097,20152
250.99,18,0,62.6,0,0.091,0.04100143170291378,24611
250.99,20,0,50.45,2,0.04199,0.06906293783684261,24041
250.99,18,396,59.69,1,0.355,0.533069465602534,1126
250.99,20,0,67.58,7,0.254,0.2250792495467776,14866
250.99,18,0,72.4,3,0.217,0.13730943568259385,21529
250.99,19,6,54.47,7,0.163,0.20769496573331922,16364
250.99,18,0,84.74,9,0.415,0.296704312734324,7857
250.99,18,155,57.18,0,0.156,0.21560093673730815,15683
250.99,20,135,64.37,9,0.358,0.3545926477875661,3936
250.99,20,55,66.14,1,0.172,0.11767673757935772,22449
250.99,18,59,79.39,7,0.38,0.2799730938600182,9445
250.99,20,51,86.7,3,0.355,0.21413427018010991,15804
250.99,18,351,65.46,5,0.439,0.5467656035225434,1092
250.99,19,172,91.9,4,0.492,0.361820306832591,3641
250.99,20,0,67.76,5,0.219,0.17711745763282744,18941
250.99,18,0,90.33,0,0.292,0.15230894472828316,20670
250.99,19,0,57.97,1,0.076,0.0459015023934844,24493
250.99,18,182,67.94,4,0.325,0.3201287080644433,5899
250.99,17,127,79.15,3,0.351,0.2637720178643266,11115
250.99,17,0,75.2,9,0.346,0.2801240901125915,9429
250.99,18,66,68.07,9,0.339,0.30480493254160024,7090
250.99,20,33,60.6,9,0.262,0.2743657479216245,10023
250.99,17,0,75.21,10,0.364,0.2996061975350338,7597
250.99,18,0,54.62,3,0.088,0.09648362518689163,23251
250.99,19,251,69.78,2,0.348,0.3840535962093009,2886
250.99,17,57,53.53,8,0.209,0.2552145848633658,12003
250.99,19,31,71.64,10,0.359,0.3094985933417438,6679
250.99,18,0,98.14,8,0.494,0.30446695785114947,7117
250.99,20,0,74.27,1,0.194,0.10531950804613203,22915
250.99,19,0,79.36,7,0.34,0.24687553329499795,12879
250.99,19,0,75.1,5,0.273,0.1928100588805535,17596
250.99,17,0,60.89,9,0.242,0.2589649306438579,11622
250.99,18,32,55.41,2,0.097,0.08442971155618582,23621
250.99,20,0,66.68,9,0.284,0.2678768753784205,10723
250.99,17,0,75.72,5,0.277,0.19337505232980495,17555
250.99,20,0,84.85,6,0.362,0.2387006705585533,13575
250.99,18,7,82.37,4,0.312,0.19196804641595436,17655
250.99,19,0,76.39,7,0.318,0.24077962374781245,13389
250.99,19,1,67.77,9,0.293,0.2694254143459152,10559
250.99,18,82,62.98,0,0.149,0.12847231081278188,21950
250.99,18,634,87.16,1,0.722,0.7594036442748814,486
250.99,19,0,94.53,1,0.341,0.17825346164422617,18841
250.99,17,0,81.59,6,0.338,0.22973300308727213,14389
250.99,19,0,55.02,0,0.04199,0.023400139877106638,24870
250.99,17,71,89.75,0,0.336,0.19844966658955587,17167
250.99,19,585,79.51,3,0.662,0.7784556864995446,425
250.99,19,59,82.69,7,0.404,0.28753766452717067,8674
250.99,17,142,84.59,2,0.383,0.28041788733327955,9398
250.99,20,0,73.11,8,0.313,0.2569986973957467,11801
250.99,18,169,75.51,10,0.48,0.4212315537860851,1970
250.99,20,0,65.6,5,0.204,0.17291080987892912,19271
250.99,17,118,81.3,3,0.361,0.25965432467859983,11549
251.0,17,8,74.72,6,0.293,0.21759261853184564,15508
252.0,18,20,67.13,1,0.156,0.08495205643588938,23608
253.0,17,455,61.52,5,0.48,0.6678740752006812,788
254.0,18,0,81.39,4,0.3,0.18606159381321177,18150
255.0,19,112,72.43,0,0.238,0.1908040036236351,17743
256.0,17,0,60.18,5,0.164,0.16098294868504942,20078
257.0,19,77,88.96,6,0.443,0.29596741100955015,7913
258.0,17,0,77.01,9,0.359,0.28311249605226857,9112
259.0,17,116,81.6,1,0.325,0.2295501035053573,14410
260.0,19,78,78.13,5,0.347,0.25036846846898203,12514
261.0,20,16,81.28,2,0.274,0.1550808565919145,20486
262.0,17,360,54.45,1,0.292,0.4821316319159791,1326
263.0,18,0,64.29,9,0.267,0.26369780773039886,11122
264.0,20,25,88.67,3,0.352,0.20267156879358575,16810
265.0,20,0,89.91,8,0.435,0.2887530387757718,8562
266.0,19,68,52.54,10,0.245,0.30481359274671727,7089
267.0,18,0,86.65,10,0.447,0.3180533562778285,6052
268.0,18,99,61.36,10,0.33,0.3378671835271024,4687
269.0,19,0,91.72,4,0.375,0.21634355717689213,15617
270.0,19,0,69.36,6,0.249,0.20399499766957235,16690
271.0,18,16,64.95,7,0.246,0.2261537149247034,14766
272.0,17,172,64.56,5,0.312,0.3180956114912321,6045
273.0,17,177,84.21,9,0.53,0.42839343116639095,1845
274.0,20,16,84.04,2,0.294,0.164620746415023,19859
275.0,18,38,80.04,2,0.28,0.1630489613603361,19952
276.0,18,0,97.56,3,0.399,0.2159862279869977,15654
277.0,18,0,65.4,0,0.111,0.052610074827038715,24374
278.0,20,61,80.68,4,0.336,0.22323131817802783,15010
279.0,17,0,72.04,4,0.232,0.160155525375463,20131
280.0,17,136,78.36,4,0.37,0.28890617075435043,8550
281.0,18,7,57.33,8,0.203,0.23495132384955048,13897
282.0,18,0,95.75,4,0.404,0.22741964416067284,14620
283.0,19,0,93.62,10,0.498,0.33011754485584316,5174
284.0,18,150,97.81,2,0.484,0.3240652881571063,5565
285.0,18,0,86.88,0,0.267,0.13940502254955037,21415
286.0,20,120,85.15,8,0.481,0.36089506840789487,3684
287.0,17,0,52.65,7,0.146,0.20314469637023877,16762
288.0,19,41,72.08,6,0.296,0.2303313860199537,14341
289.0,19,96,51.8,9,0.241,0.3028168886760065,7278
290.0,18,31,96.4,6,0.466,0.28164972285118295,9266
291.0,20,0,79.51,7,0.341,0.2477709910876854,12788
292.0,18,0,53.05,2,0.058,0.06451867015770144,24176
293.0,20,55,79.93,3,0.308,0.1962433101670657,17324
294.0,18,182,82.29,0,0.357,0.3004751956671701,7507
295.0,19,3,99.04,8,0.503,0.308111739130906,6791
296.0,19,5,82.84,5,0.332,0.21413344257081457,15805
297.0,20,0,90.4,10,0.474,0.32490822478616666,5482
298.0,18,350,88.78,5,0.608,0.5845475902208234,976
299.0,18,0,86.08,4,0.334,0.19950687765208305,17087
300.0,17,87,55.41,6,0.206,0.232832790947412,14102
301.0,18,159,66.72,4,0.301,0.2895435134845555,8480
302.0,20,13,87.67,1,0.3,0.16099835438284163,20077
303.0,17,164,94.67,9,0.598,0.43392174931361555,1759
304.0,20,0,58.17,0,0.059,0.03695767589356475,24686
305.0,19,85,50.44,7,0.184,0.24802578220398525,12760
306.0,17,0,92.53,6,0.417,0.2556414977645161,11952
307.0,18,107,61.81,7,0.284,0.28384570554954386,9040
308.0,19,38,76.32,10,0.398,0.32079985702859887,5844
309.0,18,0,99.53,9,0.523,0.32406592985094285,5564
310.0,17,185,87.32,2,0.431,0.3374739580769693,4712
311.0,19,634,58.12,8,0.649,0.878603470535165,122
312.0,19,114,96.34,6,0.522,0.34501707193711084,4338
313.0,17,226,60.78,6,0.339,0.3935354849143201,2598
314.0,18,57,91.3,1,0.356,0.20216497106001413,16866
315.0,17,574,50.55,4,0.463,0.7396875706036933,557
316.0,19,35,61.76,3,0.163,0.1280950213996743,21966
317.0,19,0,55.53,4,0.112,0.12767848693961512,21978
318.0,19,0,77.87,1,0.22,0.1169935773262324,22475
319.0,20,74,80.16,9,0.432,0.3323160003861951,5045
320.0,20,22,85.34,2,0.307,0.17235995367033194,19315
321.0,18,106,64.66,5,0.268,0.24507165165730038,13030
322.0,17,326,97.45,7,0.691,0.591671167830597,961
323.0,19,135,50.68,4,0.168,0.23293875453169327,14090
324.0,20,169,65.97,1,0.247,0.25902149058364926,11612
325.0,20,0,52.93,1,0.04199,0.044296117735299435,24543
326.0,17,0,68.36,7,0.26,0.2251452306930492,14861
327.0,17,134,97.3,8,0.578,0.3961683327674828,2523
328.0,17,7,65.08,3,0.168,0.11885485112803836,22405
329.0,17,170,65.26,7,0.352,0.35335556762591636,3986
330.0,19,0,64.65,9,0.269,0.26444395425492256,11046
331.0,19,47,91.3,0,0.331,0.1845634717651102,18275
332.0,18,95,79.47,4,0.35,0.248930133776814,12666
333.0,18,0,70.84,1,0.169,0.08852883002125725,23529
334.0,20,139,68.36,7,0.354,0.3276948802768279,5300
335.0,18,0,84.16,9,0.411,0.2957090287923299,7935
336.0,20,97,99.12,5,0.512,0.32062231976569966,5861
337.0,20,620,72.5,0,0.58,0.7203749977214251,631
338.0,18,167,61.24,4,0.266,0.288394087842122,8591
339.0,17,0,69.86,6,0.253,0.20432003174324173,16661
340.0,20,30,58.98,0,0.085,0.05958460451382628,24280
341.0,19,64,83.07,5,0.374,0.2516738069406644,12369
342.0,18,101,51.1,2,0.112,0.15595746920097758,20418
343.0,19,0,72.03,4,0.232,0.1611622494934998,20070
344.0,19,0,51.46,7,0.137,0.2026813405456798,16806
345.0,20,0,51.73,7,0.139,0.2037330327045421,16713
346.0,18,42,68.95,5,0.256,0.19972002630624747,17060
347.0,20,66,87.76,0,0.318,0.18910031449857562,17864
348.0,20,55,83.39,9,0.442,0.32514348762422157,5465
349.0,17,0,94.97,4,0.399,0.225170487193758,14859
350.0,17,94,71.42,8,0.364,0.3110416313209987,6551
351.0,19,0,58.11,0,0.058,0.029169896950914685,24832
352.0,17,0,53.79,0,0.04199,0.0084294991972169,24979
353.0,18,0,62.29,4,0.161,0.1378047832576495,21502
354.0,18,236,75.13,6,0.45,0.43256913378708167,1786
355.0,20,521,63.91,7,0.578,0.7842699200550507,396
356.0,20,0,87.95,0,0.275,0.145649943470056,21090
357.0,17,113,82.98,6,0.424,0.3126886909391923,6437
358.0,20,170,71.41,10,0.451,0.4161588888099551,2064
359.0,17,36,85.68,9,0.446,0.31681934012843027,6149
360.0,19,625,73.05,5,0.678,0.8376506563674057,231
361.0,20,10,52.18,5,0.113,0.15594640441327443,20420
362.0,20,634,86.87,6,0.73101,0.87683476103977,130
363.0,17,44,83.05,0,0.269,0.15147621223271748,20753
364.0,20,7,76.07,3,0.248,0.15335519870169806,20588
365.0,17,272,57.31,6,0.345,0.4450191568806595,1617
366.0,19,83,75.73,3,0.297,0.2084772525847588,16281
367.0,18,122,63.01,5,0.267,0.2584765051641844,11670
368.0,18,532,98.59,7,0.73101,0.8332108696499805,244
369.0,17,0,73.26,2,0.205,0.11688392666757294,22483
370.0,20,238,89.25,4,0.517,0.433574707392308,1765
371.0,18,177,78.58,8,0.471,0.4029539781581122,2341
372.0,19,576,91.03,0,0.685,0.7174275986003672,638
373.0,18,23,73.2,1,0.202,0.11019132213720936,22711
374.0,18,431,78.86,6,0.608,0.6862408043492157,737
375.0,20,0,74.13,1,0.193,0.10480092388589342,22941
376.0,17,0,97.16,0,0.342,0.17686994586751295,18970
377.0,19,0,56.44,8,0.192,0.2318077917927462,14200
378.0,19,0,67.46,7,0.253,0.2241448595873373,14943
379.0,18,0,77.55,3,0.254,0.15293156920229817,20613
380.0,18,0,54.48,4,0.105,0.12551057542612382,22090
381.0,17,470,92.03,9,0.73101,0.7794738639627269,421
382.0,20,37,93.58,0,0.341,0.18643879910979824,18112
383.0,20,0,60.39,6,0.184,0.1893031424910351,17851
384.0,17,0,97.02,3,0.395,0.2140849999729301,15807
385.0,17,0,80.71,6,0.331,0.22755575245980678,14607
386.0,17,165,79.65,10,0.507,0.42391540175202524,1921
387.0,17,124,67.43,5,0.3,0.26931042842031994,10574
388.0,20,114,78.48,6,0.392,0.3046038595512139,7107
389.0,20,0,62.9,0,0.093,0.0506014572636888,24413
390.0,17,0,51.74,6,0.121,0.17695761101612054,18959
391.0,19,634,86.78,1,0.73101,0.7601007734075523,482
392.0,17,493,97.89,9,0.73101,0.8088972425584795,316
393.0,18,0,54.47,1,0.05,0.03536577190763092,24709
394.0,19,15,79.8,6,0.335,0.23312622926247384,14067
395.0,19,155,62.79,6,0.306,0.3143375112709608,6333
396.0,20,198,68.74,5,0.36,0.3587813648631209,3769
397.0,17,0,64.1,7,0.229,0.21802278212501616,15453
398.0,17,108,53.39,9,0.26,0.3136880183104156,6377
399.0,18,84,99.33,9,0.578,0.374785278548602,3181
400.0,18,0,78.69,0,0.208,0.10768198851666813,22817
401.0,20,25,78.13,4,0.293,0.19075588647530653,17747
402.0,20,97,78.89,8,0.42,0.3288075377880134,5240
403.0,18,6,54.16,4,0.106,0.12663106098284904,22028
404.0,20,4,69.78,9,0.309,0.2740926870677666,10043
405.0,18,29,96.23,5,0.446,0.2621641099038035,11283
406.0,19,0,77.54,0,0.2,0.10444080000047533,22956
407.0,18,0,69.91,1,0.162,0.08480974983248789,23611
408.0,17,0,60.64,9,0.24,0.2586200330707838,11657
409.0,20,0,62.38,2,0.126,0.0867675177189946,23566
410.0,17,0,90.23,0,0.292,0.1519117183353616,20706
411.0,17,52,82.01,6,0.376,0.2599801928353129,11514
412.0,17,124,66.42,2,0.239,0.21284491098850988,15910
413.0,18,75,94.89,3,0.43,0.25696812252393536,11808
414.0,17,0,51.0,10,0.188,0.2693551186354915,10570
415.0,17,151,88.12,3,0.432,0.3137207261773654,6375
416.0,19,0,76.51,1,0.21,0.11174649191386338,22653
417.0,20,0,94.73,7,0.451,0.2803232694283529,9409
418.0,17,193,93.79,1,0.466,0.3503035857665401,4118
419.0,18,242,65.96,6,0.387,0.4228298461760374,1937
420.0,19,0,51.74,8,0.157,0.22675392323308444,14698
421.0,20,147,93.59,10,0.597,0.431269928235167,1804
422.0,19,0,91.33,10,0.481,0.32616459119594715,5389
423.0,20,114,58.0,10,0.316,0.34555582973186577,4312
424.0,19,0,76.66,10,0.375,0.3023485774510783,7332
425.0,18,187,68.77,8,0.407,0.39591223475527443,2531
426.0,17,64,86.36,0,0.307,0.18069884247889126,18602
427.0,20,0,93.51,7,0.443,0.2778382715884926,9686
428.0,20,146,81.23,7,0.452,0.36027370217767546,3705
429.0,17,177,97.48,8,0.609,0.437485558500516,1706
430.0,19,169,52.58,0,0.132,0.2289740093808482,14471
431.0,17,58,69.86,10,0.364,0.321957426905513,5748
432.0,19,6,67.45,7,0.257,0.22648445428343092,14730
433.0,20,0,62.72,1,0.11,0.06396511596646015,24194
434.0,17,175,68.09,9,0.412,0.3985851952976036,2465
435.0,18,0,56.36,6,0.155,0.1822791371001619,18448
436.0,17,0,75.09,2,0.218,0.12315982771056101,22234
437.0,19,0,66.05,4,0.189,0.1467774687067321,21032
438.0,20,0,79.48,4,0.286,0.1822440557098227,18449
439.0,17,0,71.32,0,0.154,0.07682627840540816,23808
440.0,18,172,50.44,2,0.153,0.24744721424170957,12808
441.0,20,0,76.43,9,0.355,0.28312934208785473,9106
442.0,18,0,77.57,2,0.236,0.1322067174973882,21772
443.0,17,456,92.23,1,0.631,0.6457097789923951,840
444.0,18,162,64.45,10,0.395,0.3967365387874553,2506
445.0,19,0,87.1,0,0.269,0.14121888873687347,21320
446.0,19,0,93.8,1,0.336,0.1757938728729985,19059
447.0,18,0,84.55,6,0.359,0.23671484130263895,13736
448.0,20,0,55.57,6,0.149,0.18283148069101546,18408
449.0,19,0,71.01,4,0.225,0.15866813560991505,20238
450.0,18,0,70.01,0,0.145,0.07216730828117071,23935
451.0,20,0,62.49,7,0.217,0.2168975969444896,15577
452.0,20,386,66.97,5,0.473,0.5947178415140638,955
453.0,18,118,85.04,8,0.479,0.358209377611945,3797
454.0,17,0,68.89,8,0.282,0.248696260100381,12690
455.0,19,74,60.04,10,0.304,0.31845000249659244,6018
456.0,19,140,89.89,0,0.383,0.2704089281026202,10459
457.0,17,161,69.38,4,0.321,0.29715440859346715,7807
458.0,19,154,71.29,3,0.312,0.2771014874518617,9757
459.0,20,0,54.2,7,0.157,0.20621432447405066,16494
460.0,17,0,89.38,1,0.304,0.1590595758718646,20197
461.0,19,5,54.23,10,0.215,0.27480324433951403,9983
462.0,17,10,78.59,6,0.323,0.22729488262682204,14628
463.0,19,0,87.98,2,0.312,0.1694361630257652,19535
464.0,18,168,56.25,10,0.34,0.39007673183567404,2693
465.0,17,0,65.13,8,0.255,0.242850100388401,13221
